time,|psi2|,i1alpha,motorMechanicalAngularVelocity
0.0413001,0.316886,-148.002,-12.1545
0.0414001,0.312084,-143.301,-12.1513
0.0415001,0.307285,-138.453,-12.1467
0.0416001,0.302495,-133.463,-12.1408
0.0417001,0.297719,-128.337,-12.1335
0.0418001,0.292962,-123.078,-12.1249
0.0419001,0.288228,-117.692,-12.1149
0.0420001,0.283523,-112.185,-12.1037
0.0421001,0.278854,-106.562,-12.0913
0.0422001,0.274225,-100.829,-12.0776
0.0423001,0.269643,-94.9905,-12.0628
0.0424001,0.265115,-89.053,-12.0468
0.0425001,0.260647,-83.0224,-12.0297
0.0426001,0.256247,-76.9045,-12.0115
0.0427001,0.251922,-70.7053,-11.9922
0.0428002,0.24768,-64.431,-11.972
0.0429002,0.243529,-58.0878,-11.9508
0.0430002,0.239478,-51.6818,-11.9286
0.0431002,0.235535,-45.2195,-11.9056
0.0432002,0.231709,-38.7071,-11.8817
0.0433002,0.22801,-32.1512,-11.857
0.0434002,0.224447,-25.5581,-11.8315
0.0435002,0.22103,-18.9343,-11.8053
0.0436002,0.217769,-12.2864,-11.7784
0.0437002,0.214674,-5.62097,-11.7508
0.0438002,0.211755,1.05552,-11.7227
0.0439002,0.209021,7.73646,-11.694
0.0440002,0.206483,14.4153,-11.6648
0.0441002,0.20415,21.0854,-11.6351
0.0442002,0.202031,27.7402,-11.605
0.0443002,0.200135,34.3733,-11.5746
0.0444002,0.198469,40.9779,-11.5438
0.0445002,0.197042,47.5478,-11.5127
0.0446002,0.195859,54.0763,-11.4814
0.0447002,0.194925,60.5571,-11.4499
0.0448002,0.194246,66.9837,-11.4183
0.0449002,0.193824,73.35,-11.3866
0.0450002,0.193661,79.6495,-11.3549
0.0451002,0.193758,85.8761,-11.3231
0.0452002,0.194114,92.0237,-11.2914
0.0453002,0.194728,98.0862,-11.2598
0.0454002,0.195596,104.058,-11.2284
0.0455002,0.196714,109.932,-11.1972
0.0456002,0.198076,115.704,-11.1662
0.0457002,0.199677,121.368,-11.1354
0.0458002,0.201508,126.917,-11.1051
0.0459002,0.203563,132.347,-11.0751
0.0460002,0.205832,137.652,-11.0455
0.0461002,0.208307,142.828,-11.0164
0.0462002,0.210977,147.868,-10.9879
0.0463002,0.213833,152.768,-10.9599
0.0464002,0.216865,157.524,-10.9325
0.0465002,0.220063,162.129,-10.9058
0.0466002,0.223416,166.581,-10.8797
0.0467002,0.226915,170.874,-10.8544
0.0468002,0.23055,175.005,-10.8299
0.0469002,0.234311,178.969,-10.8062
0.0470002,0.238189,182.762,-10.7834
0.0471002,0.242175,186.381,-10.7615
0.0472002,0.246259,189.822,-10.7405
0.0473002,0.250434,193.081,-10.7205
0.0474002,0.25469,196.156,-10.7016
0.0475002,0.25902,199.043,-10.6837
0.0476002,0.263417,201.74,-10.6668
0.0477002,0.267873,204.244,-10.6511
0.0478002,0.272382,206.553,-10.6366
0.0479002,0.276936,208.663,-10.6232
0.0480002,0.281529,210.574,-10.6111
0.0481002,0.286155,212.282,-10.6002
0.0482002,0.290809,213.788,-10.5906
0.0483002,0.295484,215.088,-10.5823
0.0484002,0.300176,216.182,-10.5754
0.0485002,0.30488,217.069,-10.5697
0.0486002,0.30959,217.748,-10.5655
0.0487003,0.314303,218.218,-10.5627
0.0488003,0.319013,218.478,-10.5613
0.0489003,0.323717,218.529,-10.5614
0.0490003,0.328411,218.371,-10.5629
0.0491003,0.333091,218.003,-10.5659
0.0492003,0.337753,217.426,-10.5705
0.0493003,0.342393,216.64,-10.5765
0.0494003,0.347009,215.647,-10.584
0.0495003,0.351598,214.446,-10.5931
0.0496003,0.356155,213.041,-10.6038
0.0497003,0.360678,211.431,-10.616
0.0498003,0.365165,209.619,-10.6298
0.0499003,0.369612,207.606,-10.6451
0.0500003,0.374018,205.394,-10.662
0.0501003,0.378379,202.985,-10.6805
0.0502003,0.382692,200.383,-10.7006
0.0503003,0.386957,197.589,-10.7223
0.0504003,0.39117,194.606,-10.7455
0.0505003,0.39533,191.437,-10.7704
0.0506003,0.399434,188.085,-10.7968
0.0507003,0.40348,184.554,-10.8247
0.0508003,0.407466,180.847,-10.8543
0.0509003,0.411391,176.968,-10.8854
0.0510003,0.415253,172.92,-10.918
0.0511003,0.41905,168.709,-10.9522
0.0512003,0.42278,164.336,-10.9879
0.0513003,0.426442,159.808,-11.0251
0.0514003,0.430034,155.129,-11.0638
0.0515003,0.433555,150.303,-11.1039
0.0516003,0.437004,145.335,-11.1455
0.0517003,0.440378,140.23,-11.1886
0.0518003,0.443677,134.993,-11.2331
0.0519003,0.4469,129.63,-11.2789
0.0520003,0.450044,124.145,-11.3262
0.0521003,0.45311,118.544,-11.3748
0.0522003,0.456095,112.832,-11.4247
0.0523003,0.459,107.016,-11.4759
0.0524003,0.461822,101.101,-11.5284
0.0525003,0.46456,95.0929,-11.5821
0.0526003,0.467215,88.9976,-11.637
0.0527003,0.469784,82.8214,-11.6931
0.0528003,0.472267,76.5702,-11.7503
0.0529003,0.474664,70.2503,-11.8087
0.0530003,0.476973,63.8679,-11.8681
0.0531003,0.479193,57.4295,-11.9286
0.0532003,0.481325,50.9415,-11.9901
0.0533003,0.483366,44.4102,-12.0525
0.0534003,0.485317,37.8421,-12.1159
0.0535003,0.487177,31.2439,-12.1802
0.0536003,0.488946,24.622,-12.2453
0.0537003,0.490622,17.983,-12.3113
0.0538003,0.492206,11.3336,-12.378
0.0539003,0.493696,4.68032,-12.4454
0.0540003,0.495093,-1.97019,-12.5136
0.0541003,0.496396,-8.61131,-12.5824
0.0542003,0.497604,-15.2365,-12.6518
0.0543003,0.498718,-21.839,-12.7218
0.0544003,0.499737,-28.4125,-12.7923
0.0545003,0.500661,-34.9502,-12.8633
0.0546004,0.501489,-41.4458,-12.9347
0.0547004,0.502221,-47.8927,-13.0065
0.0548004,0.502857,-54.2846,-13.0786
0.0549004,0.503398,-60.6151,-13.151
0.0550004,0.503842,-66.8778,-13.2237
0.0551004,0.504189,-73.0667,-13.2966
0.0552004,0.504441,-79.1754,-13.3697
0.0553004,0.504596,-85.1979,-13.4429
0.0554004,0.504655,-91.1283,-13.5161
0.0555004,0.504617,-96.9607,-13.5894
0.0556004,0.504483,-102.689,-13.6626
0.0557004,0.504253,-108.308,-13.7358
0.0558004,0.503926,-113.812,-13.8089
0.0559004,0.503504,-119.195,-13.8818
0.0560004,0.502986,-124.452,-13.9546
0.0561004,0.502373,-129.578,-14.027
0.0562004,0.501664,-134.568,-14.0992
0.0563004,0.500859,-139.416,-14.1711
0.0564004,0.49996,-144.118,-14.2426
0.0565004,0.498967,-148.67,-14.3137
0.0566004,0.497879,-153.066,-14.3843
0.0567004,0.496698,-157.302,-14.4544
0.0568004,0.495423,-161.375,-14.524
0.0569004,0.494055,-165.28,-14.5929
0.0570004,0.492595,-169.012,-14.6613
0.0571004,0.491042,-172.57,-14.729
0.0572004,0.489398,-175.948,-14.796
0.0573004,0.487663,-179.144,-14.8622
0.0574004,0.485837,-182.154,-14.9277
0.0575004,0.483922,-184.975,-14.9923
0.0576004,0.481917,-187.606,-15.0561
0.0577004,0.479823,-190.042,-15.119
0.0578004,0.477642,-192.281,-15.181
0.0579004,0.475373,-194.322,-15.242
0.0580004,0.473018,-196.162,-15.302
0.0581004,0.470577,-197.8,-15.3611
0.0582004,0.468051,-199.233,-15.419
0.0583004,0.465441,-200.461,-15.4759
0.0584004,0.462747,-201.482,-15.5317
0.0585004,0.459971,-202.295,-15.5863
0.0586004,0.457114,-202.9,-15.6397
0.0587004,0.454176,-203.295,-15.692
0.0588004,0.451158,-203.48,-15.7431
0.0589004,0.448061,-203.456,-15.7929
0.0590004,0.444887,-203.221,-15.8414
0.0591004,0.441637,-202.777,-15.8887
0.0592004,0.438311,-202.124,-15.9347
0.0593004,0.43491,-201.262,-15.9793
0.0594004,0.431437,-200.193,-16.0226
0.0595004,0.427891,-198.917,-16.0645
0.0596004,0.424275,-197.435,-16.1051
0.0597004,0.420589,-195.749,-16.1442
0.0598004,0.416836,-193.861,-16.182
0.0599004,0.413015,-191.773,-16.2183
0.0600004,0.40913,-189.486,-16.2533
0.0601004,0.40518,-187.003,-16.2867
0.0602004,0.401168,-184.326,-16.3188
0.0603004,0.397096,-181.458,-16.3494
0.0604004,0.392964,-178.402,-16.3785
0.0605005,0.388774,-175.16,-16.4061
0.0606005,0.384529,-171.737,-16.4323
0.0607005,0.380229,-168.135,-16.4571
0.0608005,0.375877,-164.357,-16.4803
0.0609005,0.371475,-160.409,-16.5021
0.0610005,0.367024,-156.292,-16.5224
0.0611005,0.362527,-152.013,-16.5412
0.0612005,0.357986,-147.573,-16.5586
0.0613005,0.353402,-142.979,-16.5745
0.0614005,0.348778,-138.235,-16.589
0.0615005,0.344117,-133.345,-16.602
0.0616005,0.339421,-128.314,-16.6136
0.0617005,0.334691,-123.147,-16.6238
0.0618005,0.329932,-117.849,-16.6325
0.0619005,0.325146,-112.426,-16.6399
0.0620005,0.320335,-106.882,-16.6458
0.0621005,0.315503,-101.223,-16.6504
0.0622005,0.310652,-95.4549,-16.6536
0.0623005,0.305786,-89.5833,-16.6555
0.0624005,0.300909,-83.6137,-16.656
0.0625005,0.296023,-77.5521,-16.6552
0.0626005,0.291133,-71.4045,-16.6532
0.0627005,0.286243,-65.1769,-16.6499
0.0628005,0.281357,-58.8755,-16.6453
0.0629005,0.276478,-52.5063,-16.6395
0.0630005,0.271613,-46.0757,-16.6325
0.0631005,0.266764,-39.59,-16.6244
0.0632005,0.261939,-33.0556,-16.6151
0.0633005,0.257141,-26.4788,-16.6047
0.0634005,0.252378,-19.8661,-16.5931
0.0635005,0.247653,-13.2241,-16.5806
0.0636005,0.242975,-6.5593,-16.567
0.0637005,0.238349,0.12185,-16.5524
0.0638005,0.233783,6.81274,-16.5368
0.0639005,0.229285,13.5068,-16.5203
0.0640005,0.224861,20.1975,-16.5028
0.0641005,0.22052,26.8782,-16.4846
0.0642005,0.216271,33.5424,-16.4654
0.0643005,0.212122,40.1835,-16.4455
0.0644005,0.208085,46.7951,-16.4248
0.0645005,0.204167,53.3706,-16.4034
0.0646005,0.20038,59.9036,-16.3813
0.0647005,0.196734,66.3876,-16.3585
0.0648005,0.193241,72.8164,-16.3351
0.0649005,0.189911,79.1836,-16.3111
0.0650005,0.186756,85.4829,-16.2866
